dim,chi2,label0_mean,label0_std,label1_mean,label1_std,label2_mean,label2_std
13962,2.2317499175510576,3412.2970550576183,442.75553626724604,3069.962543554007,569.1656521064685,2507.99478390462,581.8606342267943
14082,2.2317499175510576,3412.2970550576183,442.75553626724604,3069.962543554007,569.1656521064685,2507.99478390462,581.8606342267943
14200,2.2317499175510576,3412.2970550576183,442.75553626724604,3069.962543554007,569.1656521064685,2507.99478390462,581.8606342267943
15424,2.203995040506219,350.10195262483995,53.27956396976477,308.4729420731707,65.65189027835045,248.1837742175857,63.09344680037169
14678,2.1618108737459836,1695.8546734955185,264.44081014175396,1493.3423344947735,319.3009417943939,1194.7906110283159,315.5917051751116
16686,2.126625892060843,13405.060179257362,1519.9408987480513,12253.09756097561,1984.21001251307,10344.643815201192,2024.9231745180364
16950,2.1035442082395917,2268.190781049936,322.45463521494787,2015.5026132404182,397.5220053867332,1647.2898658718332,404.93446116707275
16073,2.072000631362921,5069.001280409731,594.2510980014707,4640.797909407665,806.887535995419,3863.128166915052,814.8976355650726
15667,2.072000631362921,5069.001280409731,594.2510980014707,4640.797909407665,806.887535995419,3863.128166915052,814.8976355650726
28034,2.0690128807856967,423.0832266325224,58.88933945053613,383.04137630662024,80.50413974047032,304.03409090909093,80.4448925796439
28094,2.0690128807856967,423.0832266325224,58.88933945053613,383.04137630662024,80.50413974047032,304.03409090909093,80.4448925796439
16507,2.0230517320975134,2416.259923175416,289.4582166747151,2209.8989547038327,382.61843863147635,1846.2183308494784,386.97379013848445
14677,1.9924164023757895,2010.4007682458387,255.25356216540726,1830.6520034843206,338.4413903081099,1504.1862891207154,350.3999773600441
15112,1.9734482761855183,1991.764404609475,245.7703159618757,1804.6872822299651,323.1296095100092,1499.2581967213114,346.27812626576815
15420,1.9606750598073397,2925.4443021766965,393.3034569562113,2639.4616724738676,486.27974530231023,2188.7049180327867,501.7595716776611
28032,1.9226744007736116,413.997119078105,66.2994662863624,363.6108449477352,80.75716631171015,292.2364008941878,83.14726347898322
28092,1.9226744007736116,413.997119078105,66.2994662863624,363.6108449477352,80.75716631171015,292.2364008941878,83.14726347898322
15588,1.910626077984725,8211.144686299616,974.36774250373,7527.756097560976,1287.1643426700477,6324.664679582713,1330.1858747298097
16078,1.9098540452990935,2834.0627400768244,430.27639916039806,2498.5400696864112,502.2380184136454,2077.183308494784,504.732575092244
