dim,chi2
13962,2.2317499175510576
14082,2.2317499175510576
14200,2.2317499175510576
15424,2.203995040506219
14678,2.1618108737459836
16686,2.126625892060843
16950,2.1035442082395917
16073,2.072000631362921
15667,2.072000631362921
28034,2.0690128807856967
28094,2.0690128807856967
16507,2.0230517320975134
14677,1.9924164023757895
15112,1.9734482761855183
15420,1.9606750598073397
28032,1.9226744007736116
28092,1.9226744007736116
15588,1.910626077984725
16078,1.9098540452990935
27999,1.8921633964953817
16624,1.8903380089680075
28125,1.8810677162546194
28061,1.8810677162546194
14737,1.861562728554976
16241,1.861367778254008
15707,1.8585626172961214
15559,1.8585626172961214
15414,1.8243571950646948
16577,1.8183136679902978
15158,1.8049709866390988
27980,1.7731012191616884
28016,1.7621383610639927
27996,1.759855892528865
27979,1.7496189331986183
15399,1.7396423973472228
16211,1.719665711549156
14204,1.713071649102559
14086,1.713071649102559
13966,1.713071649102559
16944,1.6998562726272037
15195,1.6968825413675708
14499,1.6894460361274135
15159,1.6877723584400517
28059,1.6782613390045111
28123,1.6782613390045111
15412,1.6647970526494473
16947,1.6579328171611587
15114,1.655667868531153
28030,1.6426684166910748
14691,1.6298756881128347
16946,1.6255553971897345
27988,1.6170918257664135
15846,1.6148200035440055
14085,1.6022735488845172
13965,1.6022735488845172
14203,1.6022735488845172
15241,1.5862110047765432
14199,1.5833403047944943
14081,1.5833403047944943
13961,1.5833403047944943
14202,1.5778647908432375
13964,1.5778647908432375
14084,1.5778647908432375
15197,1.5777693668192423
28033,1.5745962058926721
28093,1.5745962058926721
15398,1.5715259551832186
14486,1.5682449181839362
15413,1.5525328334347641
28108,1.5497017157008706
28050,1.5497017157008706
27998,1.5497017157008706
15410,1.5364306451068572
15397,1.5239640666523717
28013,1.5154390321218068
28117,1.5144031272406266
28060,1.5139027945980468
28124,1.5139027945980468
16948,1.5032813513772383
28086,1.50107482407013
14733,1.5004191405520444
15115,1.4880600913512683
16262,1.4649316311163418
15870,1.4649316311163418
14485,1.4619909859340603
27995,1.4266223938352474
16943,1.4084289681570796
14487,1.3925083018703472
15198,1.3896657257640517
15242,1.3802634897019261
28077,1.3794414924179643
28015,1.3794414924179643
28139,1.3794414924179643
15409,1.375680269761591
15113,1.3713404210160745
14399,1.3603566199356854
15411,1.33287058630142
15767,1.3030858673029815
27987,1.295594038699492
15428,1.2811634137549184
20030,1.2729968320185876
19871,1.2729968320185876
16945,1.2680246628309422
15396,1.25854523794862
14732,1.2526572636924096
27815,1.2514923386269698
26910,1.2514923386269698
14083,1.2502414355137796
13963,1.2502414355137796
14201,1.2502414355137796
15121,1.2284674917103668
15419,1.226968236232204
15765,1.2183100670552165
14738,1.2170989288416312
28049,1.2150809397124587
27997,1.2150809397124587
28107,1.2150809397124587
13909,1.212574251028568
16842,1.2109637185914601
26037,1.2045403447239103
25226,1.2045403447239103
28095,1.203947550646057
28035,1.203947550646057
15204,1.1991773180184375
16844,1.1952547485730116
735,1.1908775179511533
1533,1.1831116978712313
14680,1.178834187892227
19129,1.1735190783672402
19075,1.1735190783672402
23746,1.1716426468919552
24455,1.1716426468919552
1571,1.1691367259300751
2133,1.165233743250984
22564,1.1601693016632781
22879,1.1601693016632781
15495,1.1569281875039228
15785,1.156249881469186
1786,1.150691396438988
28029,1.148955226639417
28012,1.1451074851982532
723,1.143891475728669
28057,1.1426832392808164
14725,1.1401918449342623
730,1.1373413897134395
15967,1.1361898447617642
16405,1.1361898447617642
736,1.1339096411708813
15091,1.1322294577934127
2453,1.1305380504537172
15142,1.1295846569278896
2090,1.1264139635234824
28084,1.1257144959076038
15995,1.1218566153654024
16576,1.1218566153654024
1463,1.110672337549589
2029,1.109797591763336
15925,1.109486448792342
16438,1.109486448792342
1761,1.1071513036885308
2073,1.1071513036885308
16146,1.1065442549056974
2509,1.106531549683873
1688,1.1054970281743253
2511,1.104781617816942
15196,1.1041652264654835
15203,1.1038387845494133
14739,1.096742928530245
14682,1.09663433936815
16845,1.0897436677313004
15075,1.086945158126392
15120,1.086510162827931
722,1.0854854161619283
17798,1.084655275216221
18810,1.084655275216221
19542,1.08397136228246
19341,1.08397136228246
1773,1.083856011017669
1462,1.0838378865050258
2551,1.0821189643539617
16949,1.0793876860524292
14488,1.0784708622040584
13917,1.0771906630347363
20568,1.0755665269098404
20780,1.0755665269098404
15359,1.0747847334518692
1317,1.0727863492990184
22459,1.0726208800598385
23066,1.0726208800598385
14684,1.0678358823029768
16683,1.0582340383098474
15629,1.0582340383098474
15225,1.057611705389803
13922,1.0569757496310288
21466,1.0549416921837702
21731,1.0549416921837702
17955,1.0521190236192037
18481,1.0521190236192037
28056,1.050881207175962
1765,1.0488312725105895
16555,1.0414837091919642
16016,1.0414837091919642
19374,1.0396979859384952
19480,1.0396979859384952
16573,1.0393796706543657
5933,1.0384222202393334
16322,1.0376931575329886
28115,1.0374617370214716
5630,1.0370008019203594
15043,1.0364841648475478
21885,1.0345434136974925
21378,1.0345434136974925
28083,1.033788575113678
1377,1.0323433684068553
5152,1.0319915271144495
16846,1.0319274865030033
16622,1.031586713749714
14591,1.027493667561421
16849,1.022746199408288
15083,1.020282164599642
26619,1.0190163636100042
27454,1.0190163636100042
5353,1.0186795127874995
2772,1.0172503007584845
28062,1.0145133893495064
28126,1.0145133893495064
13924,1.0142515119803346
15566,1.006725057761078
15935,1.0064106716248946
16345,1.0064106716248946
2515,1.0059534648928488
12720,1.0029240796011203
11847,1.0029240796011203
13624,1.0029240796011203
11036,1.0029240796011203
10265,1.0021129998367135
9556,1.0021129998367135
4621,1.0021129998367135
3611,1.0021129998367135
23743,1.0019828074175305
24452,1.0019828074175305
1750,1.0019371756822402
4921,1.0007810219422386
23745,0.9999667654236998
17797,0.9999667654236998
24454,0.9999667654236998
18809,0.9999667654236998
15126,0.9991175505543577
4818,0.9982657319409661
1551,0.9942323937983233
14295,0.9940084313906438
16955,0.9935163580047248
2637,0.9926925130309351
1576,0.9902169778885725
26909,0.9892115028406323
26036,0.9892115028406323
25225,0.9892115028406323
27814,0.9892115028406323
20122,0.9879126482220808
19819,0.9879126482220808
2549,0.9843413342026809
2512,0.9839987535501089
15987,0.9815968332917291
16458,0.9815968332917291
738,0.9812281108209182
20907,0.9807806222942338
20501,0.9807806222942338
27812,0.9804569344873932
26907,0.9804569344873932
7696,0.9765831665207461
13730,0.9763399460025315
7189,0.9751321468185201
4927,0.9748162000246229
4830,0.9748162000246229
10343,0.9732828041882295
11932,0.9730586679855959
1548,0.9721409356108326
5042,0.9693696443257328
5246,0.9693696443257328
1316,0.96934418970047
8877,0.9680546653086205
8270,0.9680546653086205
2554,0.9678983177837599
4729,0.9651164895619257
1376,0.9644531256836819
9654,0.9630178787716503
14683,0.9628243894007746
5377,0.9627900146897246
8946,0.9627539185547664
28159,0.96249781252545
1706,0.9621839893577613
6760,0.9604688644448054
1655,0.9600890727475614
8352,0.9600554028633439
12838,0.9600545387205089
11438,0.9598212662336566
10630,0.9598212662336566
6510,0.9591597230173684
11147,0.9589261164244749
27536,0.958628898365395
27057,0.958628898365395
6105,0.9578145360860284
16841,0.9575209282846788
4969,0.9572850022229471
2047,0.9569863049861225
24231,0.9569159427054316
23863,0.9569159427054316
22762,0.9557642624094681
22158,0.9557642624094681
3739,0.9553927323328227
25690,0.9553841246008543
24928,0.9553841246008543
1960,0.9543225238576536
15426,0.9541900154575575
17466,0.9539073792760269
18389,0.9539073792760269
4725,0.9534113926873524
2523,0.9532680208875608
6363,0.9527245338677848
1264,0.952278484026761
3703,0.9522677497455554
7756,0.9517403770153205
1273,0.9517253318108734
7260,0.9516920223132551
5179,0.9511975544169384
3086,0.9496219169850413
4098,0.9496219169850413
1101,0.9491647849240198
2498,0.9487169603516921
4868,0.9481840626601076
1176,0.9479185260652835
8570,0.9478690270714729
7966,0.9478690270714729
9905,0.9455221511405875
9194,0.9455221511405875
5672,0.9437331166754713
15770,0.9436293967014666
1532,0.9434157123824173
5072,0.9429722808577664
5263,0.9429722808577664
14679,0.9429221460085362
2190,0.9425823941173256
5969,0.9422985472764489
27530,0.9417164992270143
27055,0.9417164992270143
20350,0.940301820183884
20733,0.940301820183884
7436,0.9391332821190271
6930,0.9391332821190271
500,0.9384169430369196
39,0.9351729141381544
141,0.9351729141381544
241,0.9351729141381544
5512,0.9339244451415032
5802,0.9298263276816435
15842,0.929036514257272
16193,0.929036514257272
12377,0.9267020506081811
1355,0.9265104518747724
18808,0.9257191682222952
17796,0.9257191682222952
435,0.9240565723602964
13253,0.9238444613567555
15422,0.9226996335393133
5511,0.9220222529162526
25783,0.9215865055468522
25359,0.9215865055468522
16088,0.9194594400883693
16651,0.9194594400883693
26035,0.9192901523380815
25224,0.9192901523380815
16147,0.9189906079114358
1236,0.9187877184486343
16836,0.9186174653419117
2644,0.9179096541238349
13170,0.9169267291810348
12260,0.9169267291810348
1161,0.9167506388793474
5782,0.9162953340644026
2285,0.9161932317992691
613,0.9156529910389692
14246,0.9149194343364244
14010,0.9149194343364244
14130,0.9149194343364244
16969,0.914569631012191
979,0.9144083856097783
14493,0.9142889934887122
24462,0.9133768920904101
27824,0.9133768920904101
23862,0.9133768920904101
27056,0.9133768920904101
883,0.9125336404094205
1819,0.9123637663880165
6995,0.9123509605827899
2672,0.9119042729017333
6156,0.9106103968824888
7440,0.9098808159385681
724,0.9095801741165865
11148,0.9093102919895852
16032,0.9086900415191305
12839,0.9083780241129602
6513,0.9074455011406529
2666,0.905685856734752
15060,0.9056712442469427
1709,0.9053795610110731
11934,0.9047004815327203
16212,0.9045947339746593
4627,0.9040826589684874
3617,0.9040826589684874
14492,0.9022235039082027
1831,0.9009960943978772
28158,0.9003651464559812
15084,0.8992250632717973
13732,0.8986276476370187
12727,0.8981411600087315
11434,0.8972556705740398
10626,0.8972556705740398
9953,0.8970316953219082
9562,0.8962224081766763
5778,0.896044419865303
5473,0.896044419865303
19665,0.8959928615667311
19970,0.8959928615667311
18289,0.8956532397658892
17275,0.8956532397658892
14685,0.8955996393631178
25357,0.8953312179566436
25780,0.8953312179566436
3220,0.8942835350764003
424,0.8937681488368268
10271,0.8935678443003551
1066,0.8927207412888128
11042,0.8921251689088132
11493,0.8920533274631073
16701,0.8914477998387227
13914,0.8914260900333119
15623,0.8912624065292498
284,0.8912065238317795
85,0.8912065238317795
187,0.8912065238317795
16077,0.8911425373215742
13631,0.8910512412808537
20293,0.8909521885478761
20698,0.8909521885478761
9288,0.8905395081983057
9903,0.8901191995089757
9192,0.8901191995089757
1919,0.8897964690678087
19437,0.8896457051180265
19233,0.8896457051180265
16478,0.8891555661881891
9282,0.8888585897340098
9959,0.8881334712226991
1690,0.8870724999339386
14218,0.8866346007441048
13980,0.8866346007441048
14100,0.8866346007441048
25358,0.8861766001654915
26044,0.8861766001654915
4193,0.8860017874036501
3222,0.8860017874036501
24096,0.8855358203244053
23385,0.8855358203244053
26453,0.8851533712653816
